,state,beds,population,totalDischarges,averageCoveredCharges,averageTotalPayments
0,AK,4.789014,966872,26.58874458874459,40348.74333333334,14572.391731601732
1,AL,11.967592999999999,4731663,39.258321870701515,31316.462074277853,7568.232148555709
2,AR,8.403947,2583665,41.97822931785196,26174.52624576681,8019.248805031446
3,AZ,2.050268,6630442,36.690284110838306,41200.06301999299,10154.528211153982
4,CA,8.182707,38982847,36.357853643600734,67508.61653551745,12629.66847213717
5,CO,4.159082,4640885,32.44444444444444,41095.13611111111,9502.68555026455
6,CT,2.157418,5354022,47.86573843858777,31318.41011437096,11365.450671307808
7,DC,0.46699,672391,43.95454545454545,40116.663658008656,12998.029415584415
8,DE,0.558183,943732,67.9010152284264,27071.69964467005,10360.072411167512
9,FL,12.315425,20278447,48.12720753025549,46016.23358673241,8826.990435679068
10,GA,20.157662,9736487,38.49476650563607,31096.932842190017,8925.793915056362
11,HI,0.520208,1421658,26.497737556561084,32174.74807692308,12775.739524886878
12,IA,4.386061,1886498,39.667820069204154,24168.74204152249,8312.571707035755
13,ID,2.516173,1597117,33.203266787658805,25565.547041742288,9827.180090744103
14,IL,9.060001,11312822,45.720445062586926,36061.849878619294,9790.676096851688
15,IN,11.234091,5553596,42.857511737089204,28144.712544600938,8756.082532863851
16,KS,6.782206,2439525,37.72893772893773,31580.253663003663,8455.476422466423
17,KY,16.519195,3966829,47.25054196345618,24523.80716940229,8278.588844843605
18,LA,9.872175,4663461,36.29864552362075,33085.37279154278,8638.662576808721
19,MA,2.144799,6789319,50.41124414367517,20534.006712649665,10279.981535658511
20,MD,3.50896,5996079,51.95525525525525,13377.803789789788,12608.947663663663
21,ME,27.528036,2836317,37.29054054054054,20394.95756756757,8679.994977477478
22,MI,11.808355,9256726,54.53995202066802,24124.24720981731,9754.420405978963
23,MN,5.658129,4237839,42.48046181172291,27894.361820603906,9948.236962699822
24,MO,10.781061,5376886,44.05666420300567,31184.62290219266,8724.631271249076
25,MS,11.363654,2564095,38.681742738589215,30292.785203319505,8229.16482572614
26,MT,3.571003,609018,31.037549407114625,22670.01523715415,9252.802766798419
27,NC,15.006825,10038356,51.043840507835746,25140.95216226939,9089.435711168418
28,ND,1.8007659999999999,431894,38.9218009478673,21636.883459715642,9827.638033175355
29,NE,4.385605,1458310,37.47551789077213,31736.427824858758,9331.68252354049
30,NH,1.937659,1331848,34.53098420413123,27059.02080194411,9289.661822600243
31,NJ,5.34243,9103731,52.052838789888106,66125.68627434727,10678.988646912558
32,NM,2.960478,1620289,29.362050163576882,30011.406499454744,9619.84109051254
33,NV,1.748019,2873396,35.44093178036606,61047.11541597338,10291.71802828619
34,NY,8.382213,19164551,47.45663543255611,31435.685542601877,11795.492051645238
35,OH,11.948555,10208692,41.85282373074729,28344.218546776952,8808.127651169425
36,OK,7.896221,3473972,38.60793650793651,29587.575265873016,8353.641035714285
37,OR,3.407778,3658297,30.443418013856814,27390.111870669745,10436.192863741338
38,PA,14.26061,12790505,40.35571501793952,39633.95976294208,9100.043217580727
39,RI,0.720353,1056138,37.906462585034014,29942.701122448983,10509.566853741497
40,SC,7.950473,4843956,42.63891815946611,35862.494562697575,9132.42075869336
41,SD,2.378135,547780,41.376543209876544,29609.99154320988,10141.688004115227
42,TN,12.886517,6418018,45.36108445297505,29279.93183541267,8153.950854126679
43,TX,27.502458,25918960,40.45338840188806,41480.19340357384,9243.979572656777
44,UT,2.7133589999999996,3457743,31.491803278688526,25092.806871584697,9749.907076502734
45,VA,25.947822000000002,8260121,44.64427516158818,29222.000487072946,8887.752176823638
46,VT,1.0194830000000001,377375,37.3,20074.958333333332,11766.304481481482
47,WA,2.495058,6083428,38.52087832973362,34714.23407487401,10543.151652267818
48,WI,8.46172,5361872,35.309809456598444,26149.32533168666,9270.705617501764
49,WV,8.690672,1436549,40.886091881686596,19191.50863436123,7968.480245437381
50,WY,2.163612,432677,26.45748987854251,28700.598623481783,11398.485910931175
