,State,Type
0,Alabama,Shelter in place
1,Alaska,Stay at home
2,Arizona,Stay at home
3,California,Stay at home
4,Colorado,Stay at home
5,Connecticut,Stay at home
6,Delaware,Shelter in place
7,District of Columbia,Stay at home
8,Florida,Stay at home
9,Georgia,Shelter in place
10,Hawaii,Stay at home
11,Idaho,Stay at home
12,Illinois,Stay at home
13,Indiana,Stay at home
14,Kansas,Stay at home
15,Kentucky,Stay at home
16,Louisiana,Stay at home
17,Maine,Stay at home
18,Maryland,Stay at home
19,Massachusetts,Stay at home
20,Michigan,Stay at home
21,Minnesota,Stay at home
22,Mississippi,Shelter in place
23,Missouri,Stay at home
24,Montana,Stay at home
25,Nevada,Stay at home
26,New Hampshire,Stay at home
27,New Jersey,Stay at home
28,New Mexico,Stay at home
29,New York,Stay at home
30,North Carolina,Stay at home
31,Ohio,Stay at home
32,Oklahoma,Shelter in place
33,Oregon,Stay at home
34,Pennsylvania,Stay at home
35,Puerto Rico,Curfew
36,Rhode Island,Stay at home
37,South Carolina,Stay at home
38,Tennessee,Stay at home
39,Texas,Stay at home
40,Utah,Stay at home
41,Vermont,Stay at home
42,Virginia,Stay at home
43,Washington,Stay at home
44,West Virginia,Stay at home
45,Wisconsin,Stay at home
46,Wyoming,Stay at home
