,state,lat,long,cases,deaths,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income
0,Alabama,32.53952745,-86.64408227,32296555,526355,714568,14.9,53958
1,Alaska,55.32222414,-161.9722021,2875733,14154,68714,9.6,79961
2,Arizona,35.39465006,-109.4892383,47071365,1048180,932555,12.8,64652
3,Arkansas,34.29145151,-91.37277296,18399133,285855,448665,15.2,51146
4,California,37.64629437,-121.8929271,177623628,3039414,4419167,11.5,83001
5,Colorado,39.87432092,-104.3362578,23326728,539308,511346,9.0,77688
6,Connecticut,41.26809896,-73.3881171,17213148,1119863,333435,9.7,79723
7,Delaware,39.08646628,-75.56884914,5154017,159837,104400,10.9,71335
8,District of Columbia,38.90417773,-77.01655992,3644438,146391,101959,15.0,91957
9,Florida,29.67866525,-82.35928158,138120398,2632332,2642642,12.4,61724
10,Georgia,31.74847232,-82.28909114,64568696,1397398,1465328,14.0,62800
11,Hawaii,19.60121157,-155.5210167,2149479,27433,121182,8.9,86878
12,Idaho,43.4526575,-116.24155159999998,10551738,108493,181197,10.1,62603
13,Illinois,39.98815591,-91.18786813,81872140,2201470,1351159,11.0,71243
14,Indiana,40.7457653,-84.93671406,35487654,959906,760167,11.6,60794
15,Iowa,41.33075609,-94.47105874,23260833,334629,313752,10.2,62362
16,Kansas,37.88582951,-95.30030847,15911179,188095,300931,10.6,63214
17,Kentucky,37.10459774,-85.28129668,18338549,269856,647158,14.9,54074
18,Louisiana,30.2950649,-92.41419698,35102448,1184508,802040,17.8,51730
19,Maine,44.1664747,-70.20380627,1551231,35646,139614,10.6,59145
20,Maryland,39.62357628,-78.69280486,29041737,911306,533561,9.0,88589
21,Massachusetts,41.72980578,-70.28854339,37183974,2053097,628899,9.4,87288
22,Michigan,44.6846864,-83.59507875,42322978,1849344,1232948,12.6,61352
23,Minnesota,46.60962049,-93.4116826,29858023,531283,458302,8.3,75489
24,Mississippi,31.47669768,-91.35326037,20498603,572535,536535,18.7,47368
25,Missouri,40.19058551,-92.60078167,32199205,524122,725117,12.1,58812
26,Montana,45.13434354,-112.8984694,4998276,58717,130711,12.4,57730
27,Nebraska,40.52449420000001,-98.50117804,13117747,130147,172623,9.2,64735
28,Nevada,39.15509045,-119.7480219,18242925,318594,386817,12.5,64608
29,New Hampshire,43.51637314,-71.41684235,2745558,102909,92404,7.0,81415
30,New Jersey,39.47538693,-74.65848483,59534110,3943298,818389,9.4,87095
31,New Mexico,35.05163625,-106.6703554,9584269,216907,346455,16.8,52285
32,New York,42.60060306,-73.97723916,126274451,8466868,2401141,12.7,73354
33,North Carolina,36.0434701,-79.39976137,46650925,730814,1329685,12.9,59616
34,North Dakota,46.09686891,-102.5285397,6784365,86124,75781,10.2,64289
35,Ohio,38.84541072,-83.4718964,44885047,1150366,1428219,12.6,60360
36,Oklahoma,35.88494195,-94.65859267,20510193,233741,552168,14.3,54512
37,Oregon,44.70915557,-117.6749883,8337032,127767,457940,11.0,67832
38,Pennsylvania,39.87140411,-77.21610347,47371971,1989100,1345976,10.9,64898
39,Rhode Island,41.71018079,-71.28652315,7355820,276252,108306,10.6,73919
40,South Carolina,34.22333378,-82.46170658,29319624,618672,703004,13.8,57216
41,South Dakota,43.71757685,-98.56050467,7219390,86824,99903,11.6,61149
42,Tennessee,36.12684348,-84.19965764,44407754,545751,911097,13.6,56962
43,Texas,31.81534745,-95.65354823,157045623,2996880,3862713,13.4,66048
44,Utah,41.52106798,-113.0832816,19987450,111272,234666,7.3,77785
45,Vermont,44.03217337,-73.14130877,561051,16459,56281,9.4,67717
46,Virginia,37.76707161,-75.63234615,32850910,669104,769479,9.2,79154
47,Washington,46.98299757,-118.5601734,21572083,487621,714653,9.5,80319
48,West Virginia,39.1307219,-80.00350858,4680089,84281,274176,15.8,49202
49,Wisconsin,43.96974651,-89.76782777,37349891,425341,571049,10.0,64901
50,Wyoming,41.65498705,-105.7235415,2590308,20807,52418,9.2,67284
